TT,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ha_Noi,"224,6","194,0","204,7","203,2","200,6","189,6","183,9","184,2","1.177,8","1.154,1","1.125,1","1.220,3","1.202,4","1.156,5","1.175,5","1.169,5","1.109,6","1.051,1","1.024,6","969,4","973,5"
Ha_Tay,"921,4","904,0","976,1","942,1","957,9","928,4","916,1","877,8",..,..,..,..,..,..,..,..,..,..,..,..,..
Vinh_Phuc,"327,0","298,2","345,0","357,6","364,5","351,4","319,9","316,2","301,5","323,6","314,3","335,7","299,8","308,4","331,2","326,4","294,5","320,3","330,6","313,2","313,0"
Bac_Ninh,"441,4","431,2","446,6","442,0","447,7","437,8","434,7","420,6","440,3","444,9","440,1","468,0","453,4","424,2","439,4","444,8","439,1","414,9","410,4","402,7","404,1"
Quang_Ninh,"176,0","185,9","199,5","214,2","215,9","214,9","202,6","209,2","204,1","203,3","208,6","212,6","216,5","210,4","211,3","211,9","211,8","195,9","208,6","203,4","201,8"
Hai_Duong,"823,5","796,5","825,1","818,6","798,5","774,1","770,5","741,9","757,7","773,5","757,9","780,9","782,3","739,8","742,6","740,0","726,4","657,9","702,5","682,8","681,9"
Hai_Phong,"490,3","487,6","498,4","501,4","505,5","459,3","481,9","461,4","475,9","488,3","485,5","484,4","490,1","490,2","484,7","478,3","465,1","436,7","440,8","413,2","376,1"
Hung_Yen,"530,0","506,9","530,6","529,6","519,1","506,8","502,0","491,1","514,5","511,0","514,6","528,6","528,6","502,1","489,6","480,5","457,4","418,6","415,4","403,5","369,5"
Thai_Binh,"1.050,6","993,9","1.081,6","930,7","1.069,5","981,6","1.079,6","1.014,8","1.105,2","1.105,8","1.104,4","1.091,3","1.059,5","1.053,2","1.061,9","1.061,9","1.053,6","942,6","1.030,4","1.022,3","1.013,1"
Ha_Nam,"385,6","396,0","404,8","388,1","399,4","374,8","404,8","407,1","416,3","419,1","417,4","424,6","424,5","395,1","401,6","405,6","395,5","366,4","386,3","384,6","376,2"
Nam_Dinh,"965,6","970,7","983,4","946,2","987,0","782,6","964,3","931,8","929,0","889,1","952,0","931,6","933,8","914,6","937,7","935,2","923,9","841,9","891,2","888,2","883,2"
Ninh_Binh,"426,6","440,4","455,9","427,8","460,5","397,1","464,9","444,6","467,9","484,1","485,5","487,9","490,4","460,9","484,3","475,4","468,1","437,0","457,2","450,7","443,1"
