Year,Province,Productivity
2000,Ha_Noi,53.15837937384899
2001,Ha_Noi,53.471074380165284
2002,Ha_Noi,55.402405180388534
2003,Ha_Noi,56.38914873713752
2004,Ha_Noi,58.38647342995169
2005,Ha_Noi,57.55928853754941
2006,Ha_Noi,58.410462776659955
2007,Ha_Noi,52.04498977505112
2008,Ha_Noi,59.78260869565217
2009,Ha_Noi,58.275193798449614
2010,Ha_Noi,57.95677799607073
2011,Ha_Noi,62.627450980392155
2012,Ha_Noi,61.75267770204479
2013,Ha_Noi,61.15347018572825
2014,Ha_Noi,61.09251968503937
2015,Ha_Noi,61.05940594059406
2016,Ha_Noi,60.93561368209255
2017,Ha_Noi,61.341589267285855
2018,Ha_Noi,62.76047261009668
2019,Ha_Noi,58.78587196467991
2020,Ha_Noi,59.6662830840046
2000,Hai_Duong,59.07008086253369
2001,Hai_Duong,58.50684931506849
2002,Hai_Duong,60.79387186629527
2003,Hai_Duong,62.7542372881356
2004,Hai_Duong,63.70477568740956
2005,Hai_Duong,63.7741456166419
2006,Hai_Duong,64.38253012048192
2007,Hai_Duong,58.41294298921417
2008,Hai_Duong,64.8822605965463
2009,Hai_Duong,64.59375
2010,Hai_Duong,60.51482059282372
2011,Hai_Duong,67.75157232704403
2012,Hai_Duong,65.72327044025157
2013,Hai_Duong,63.45425867507887
2014,Hai_Duong,63.57142857142857
2015,Hai_Duong,64.53074433656958
2016,Hai_Duong,64.61285008237232
2017,Hai_Duong,65.06734006734007
2018,Hai_Duong,66.94017094017094
2019,Hai_Duong,62.69896193771626
2020,Hai_Duong,63.091872791519435
2000,Hung_Yen,61.31639722863742
2001,Hung_Yen,59.12240184757506
2002,Hung_Yen,61.108545034642034
2003,Hung_Yen,62.990654205607484
2004,Hung_Yen,64.36754176610978
2005,Hung_Yen,65.02450980392157
2006,Hung_Yen,64.93765586034912
2007,Hung_Yen,61.868686868686865
2008,Hung_Yen,65.83126550868487
2009,Hung_Yen,64.2679900744417
2010,Hung_Yen,63.916256157635466
2011,Hung_Yen,69.3103448275862
2012,Hung_Yen,68.15724815724815
2013,Hung_Yen,67.62376237623762
2014,Hung_Yen,66.55696202531645
2015,Hung_Yen,66.07235142118863
2016,Hung_Yen,65.87601078167116
2017,Hung_Yen,65.87570621468927
2018,Hung_Yen,67.45508982035929
2019,Hung_Yen,67.53125
2020,Hung_Yen,67.50841750841751
2000,Nam_Dinh,67.34223300970874
2001,Nam_Dinh,67.40560292326431
2002,Nam_Dinh,68.35178351783519
2003,Nam_Dinh,68.76390605686032
2004,Nam_Dinh,69.64956195244055
2005,Nam_Dinh,69.94891443167306
2006,Nam_Dinh,70.56701030927836
2007,Nam_Dinh,67.12987012987013
2008,Nam_Dinh,67.54226267880364
2009,Nam_Dinh,67.53512132822478
2010,Nam_Dinh,68.18181818181819
2011,Nam_Dinh,68.78361075544174
2012,Nam_Dinh,68.88030888030887
2013,Nam_Dinh,68.99346405228758
2014,Nam_Dinh,69.13499344692005
2015,Nam_Dinh,69.22470433639948
2016,Nam_Dinh,69.41875825627477
2017,Nam_Dinh,69.43624161073825
2018,Nam_Dinh,69.55345060893099
2019,Nam_Dinh,69.36054421768708
2020,Nam_Dinh,69.42068965517241
2000,Ninh_Binh,57.52358490566038
2001,Ninh_Binh,57.89227166276346
2002,Ninh_Binh,59.05660377358491
2003,Ninh_Binh,60.260663507109
2004,Ninh_Binh,61.523809523809526
2005,Ninh_Binh,62.144578313253014
2006,Ninh_Binh,63.535108958837775
2007,Ninh_Binh,59.292682926829265
2008,Ninh_Binh,62.311435523114355
2009,Ninh_Binh,62.21686746987952
2010,Ninh_Binh,64.15865384615384
2011,Ninh_Binh,65.40865384615384
2012,Ninh_Binh,64.96420047732697
2013,Ninh_Binh,65.32219570405728
2014,Ninh_Binh,65.78947368421053
2015,Ninh_Binh,65.97122302158273
2016,Ninh_Binh,66.15384615384615
2017,Ninh_Binh,66.13138686131387
2018,Ninh_Binh,66.65024630541872
2019,Ninh_Binh,66.82266009852216
2020,Ninh_Binh,66.54228855721392
2000,Thai_Binh,66.3625730994152
2001,Thai_Binh,64.70314318975552
2002,Thai_Binh,67.38262910798122
2003,Thai_Binh,69.16174734356552
2004,Thai_Binh,70.19184652278177
2005,Thai_Binh,71.09638554216868
2006,Thai_Binh,71.05839416058394
2007,Thai_Binh,61.0281517747858
2008,Thai_Binh,70.0
2009,Thai_Binh,70.3485576923077
2010,Thai_Binh,70.58041112454656
2011,Thai_Binh,72.63349514563106
2012,Thai_Binh,71.66461159062885
2013,Thai_Binh,71.51552795031056
2014,Thai_Binh,71.73913043478261
2015,Thai_Binh,71.58551810237203
2016,Thai_Binh,71.51819322459222
2017,Thai_Binh,71.65613147914033
2018,Thai_Binh,71.68582375478927
2019,Thai_Binh,71.28865979381443
2020,Thai_Binh,70.65530799475754
2000,Ha_Nam,53.780160857908854
2001,Ha_Nam,55.04
2002,Ha_Nam,56.0752688172043
2003,Ha_Nam,56.63072776280323
2004,Ha_Nam,58.04878048780488
2005,Ha_Nam,60.16713091922006
2006,Ha_Nam,61.35977337110482
2007,Ha_Nam,59.827586206896555
2008,Ha_Nam,63.372781065088766
2009,Ha_Nam,63.08357348703169
2010,Ha_Nam,63.67816091954023
2011,Ha_Nam,66.57971014492753
2012,Ha_Nam,66.1111111111111
2013,Ha_Nam,66.44970414201184
2014,Ha_Nam,65.83832335329342
2015,Ha_Nam,66.46525679758308
2016,Ha_Nam,66.54320987654322
2017,Ha_Nam,66.75
2018,Ha_Nam,67.09265175718849
2019,Ha_Nam,66.49517684887459
2020,Ha_Nam,66.58940397350993
